,count,explanatory_count,conversion_rate,tg_rate,ate,accuracy,auuc,f1,precision,qini_at_0,qini_at_10,qini_at_100,qini_at_20,qini_at_30,qini_at_40,qini_at_50,qini_at_60,qini_at_70,qini_at_80,qini_at_90,recall,roc_auc,system/cpu_utilization_percentage,system/disk_available_megabytes,system/disk_usage_megabytes,system/disk_usage_percentage,system/gpu_0_memory_usage_megabytes,system/gpu_0_memory_usage_percentage,system/gpu_0_power_usage_percentage,system/gpu_0_power_usage_watts,system/gpu_0_utilization_percentage,system/network_receive_megabytes,system/network_transmit_megabytes,system/system_memory_usage_megabytes,system/system_memory_usage_percentage,uplift_at_0,uplift_at_10,uplift_at_100,uplift_at_20,uplift_at_30,uplift_at_40,uplift_at_50,uplift_at_60,uplift_at_70,uplift_at_80,uplift_at_90
criteo,13979592,12,0.002916680257907384,0.8500001287591226,0.0011518730521316279,0.9969828876264772,0.022501681445040445,0.14891642116308165,0.42008196721311475,0.0,9770.561111749288,13687.310082277152,11537.3938890883,12267.924362996342,12626.437602597485,12875.308140841767,12961.329900868608,12966.173721254538,12959.704557095953,13023.12705510085,0.09049884730465493,0.8876618018430324,7.1,20138.7,1336.1,6.2,697.3,1.4,7.7,23.0,0.0,8.867918000000031,13.882929999999995,142698.0,26.4,0.0,0.008098664677136543,0.0011518730521316279,0.00481781855065669,0.003426543745400851,0.0026500664283097474,0.0021643545705942223,0.001816334444350982,0.0015570988298082965,0.0013618246172745247,0.0012164677900350983
hillstorm,64000,12,0.00903125,0.66709375,0.004954571155268468,0.990953125,0.027118910505495083,0.0,0.0,0.0,29.799999999999997,211.530460903032,55.77519379844962,63.405204460966544,84.96858884200657,105.1746778289907,117.74202441906263,140.3221476510067,156.73072186712017,180.3470003642229,0.0,0.5624384921390513,,,,,,,,,,,,,,0.0,0.006970760233918129,0.004954571155268468,0.0065287596627004105,0.004975298529579925,0.00497823932751386,0.004921834331461028,0.00458051057845021,0.00469304841642163,0.004589882621229395,0.004698861425294363
lenta,687029,195,0.10824579457344595,0.7509028003184727,0.0075471269267721325,0.8974264550695822,0.05223191977303922,0.2153585783795219,0.626157332470055,0.0,419.78603090930847,3893.502404506333,994.24417108138,1615.3543951676984,2116.6153080033328,2583.9169002258714,2824.6199171428016,3161.027331567122,3445.2277873447383,3744.7246527597163,0.13004249139414803,0.7948624469883101,12.9,20138.8,1336.0,6.2,697.3,1.4,7.7,23.0,0.0,0.24278300000003128,0.2220480000000009,138145.6,25.6,0.0,0.008071566507254824,0.0075471269267721325,0.009560591679148633,0.010369459463138386,0.010198638848617991,0.009978323866593058,0.009101254747443416,0.008740715542265659,0.00833876576841,0.00806111105725578
megafon,600000,50,0.20419,0.5006133333333334,0.04951912837864933,0.82451,0.6129666068990459,0.3112096710887825,0.7836528958292153,0.0,1511.9512342164307,14873.961552838147,6729.197281864628,10104.140872464577,12790.62072417821,15188.862074490462,17286.18710115335,18799.745157904777,19234.98717568972,17247.190211345936,0.19415740241931534,0.7371024059068656,5.1,20138.7,1336.2,6.2,697.3,1.4,7.7,23.0,0.0,0.0,0.0,139212.5,25.7,0.0,0.05015928189683949,0.04951912837864933,0.11195549998111043,0.11223705495656289,0.10646429768751631,0.10111818915304982,0.09589426061450965,0.08936089532229671,0.0800460558541222,0.06380758494763575
